T         <M>             <M^2>           <M^4>       U_{Binder}        \chi         C_v(tot)         <E>           <E_{exc}>     <E_{lsf}>
0850 5.05137285E-03 3.01789232E-05 1.53239138E-09 4.39157438E-01 2.39500109E-04 8.39238028E-03 -3.46049502E-02 -3.46049502E-02 0.00000000E+00
0870 4.97152558E-03 2.90805598E-05 1.39103860E-09 4.51707377E-01 2.19035844E-04 7.54687380E-03 -3.35876587E-02 -3.35876587E-02 0.00000000E+00
0890 4.97655205E-03 2.90405390E-05 1.39102637E-09 4.50199966E-01 2.09697258E-04 6.73251842E-03 -3.26480550E-02 -3.26480550E-02 0.00000000E+00
0910 4.88524568E-03 2.81448577E-05 1.32829086E-09 4.41048900E-01 2.05317090E-04 6.30342791E-03 -3.17987712E-02 -3.17987712E-02 0.00000000E+00
0930 4.88011957E-03 2.82500603E-05 1.37136771E-09 4.27212007E-01 2.08190869E-04 6.19060867E-03 -3.09776486E-02 -3.09776486E-02 0.00000000E+00
0950 4.87648894E-03 2.80587790E-05 1.33653968E-09 4.34121665E-01 1.96644688E-04 5.82256624E-03 -3.01842947E-02 -3.01842947E-02 0.00000000E+00
0970 4.81449126E-03 2.72406825E-05 1.23691926E-09 4.44371992E-01 1.82810018E-04 5.79403700E-03 -2.94030170E-02 -2.94030170E-02 0.00000000E+00
0990 4.78575417E-03 2.69697400E-05 1.23195667E-09 4.35426281E-01 1.79334780E-04 5.84660058E-03 -2.87586653E-02 -2.87586653E-02 0.00000000E+00
1010 4.74734778E-03 2.63524183E-05 1.13796983E-09 4.53778811E-01 1.64924818E-04 5.18798882E-03 -2.80629820E-02 -2.80629820E-02 0.00000000E+00
1030 4.72303551E-03 2.62551939E-05 1.16497947E-09 4.36665228E-01 1.67361200E-04 5.22865045E-03 -2.74235034E-02 -2.74235034E-02 0.00000000E+00
1050 4.72342129E-03 2.60892426E-05 1.11134396E-09 4.55742658E-01 1.57121149E-04 4.69633072E-03 -2.68243966E-02 -2.68243966E-02 0.00000000E+00
1070 4.68025050E-03 2.57794531E-05 1.10821286E-09 4.44153942E-01 1.58108732E-04 4.57175627E-03 -2.62368274E-02 -2.62368274E-02 0.00000000E+00
1090 4.63453946E-03 2.52093260E-05 1.06324726E-09 4.42312965E-01 1.49425953E-04 4.38141461E-03 -2.57036449E-02 -2.57036449E-02 0.00000000E+00
1110 4.59708529E-03 2.49890707E-05 1.05741578E-09 4.35551504E-01 1.51670416E-04 4.15752783E-03 -2.51399819E-02 -2.51399819E-02 0.00000000E+00
